card_id,name,number,rarity,types,set.name,set.release_date,images.large,prices.cardmarket_trend,prices.tcgplayer_variants.holofoil.market
hgss4-1,Aggron,1,Rare Holo,Metal,HS—Triumphant,2010/11/03,https://images.pokemontcg.io/hgss4/1_hires.png,3.64,9.8
xy5-1,Weedle,1,Common,Grass,Primal Clash,2015/02/04,https://images.pokemontcg.io/xy5/1_hires.png,0.12,
pl1-1,Ampharos,1,Rare Holo,Lightning,Platinum,2009/02/11,https://images.pokemontcg.io/pl1/1_hires.png,5.78,32.44
dp3-1,Ampharos,1,Rare Holo,Lightning,Secret Wonders,2007/11/01,https://images.pokemontcg.io/dp3/1_hires.png,6.06,42.56
det1-1,Bulbasaur,1,Common,Grass,Detective Pikachu,2019/04/05,https://images.pokemontcg.io/det1/1_hires.png,0.63,1.13
dv1-1,Dratini,1,Rare Holo,Dragon,Dragon Vault,2012/10/05,https://images.pokemontcg.io/dv1/1_hires.png,5.6,4.35
mcd19-1,Caterpie,1,,Grass,McDonald's Collection 2019,2019/10/15,https://images.pokemontcg.io/mcd19/1_hires.png,2.14,14.7
pl3-1,Absol G,1,Rare Holo,Darkness,Supreme Victors,2009/08/19,https://images.pokemontcg.io/pl3/1_hires.png,8.48,35.95
ex12-1,Aerodactyl,1,Rare Holo,Colorless,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/1_hires.png,34.98,79.6
ex3-1,Absol,1,Rare Holo,Darkness,Dragon,2003/11/24,https://images.pokemontcg.io/ex3/1_hires.png,41.91,164.66
ru1-1,Venusaur,1,,Grass,Pokémon Rumble,2009/12/02,https://images.pokemontcg.io/ru1/1_hires.png,122.78,279.91
ecard2-H1,Ampharos,H1,Rare Holo,Lightning,Aquapolis,2003/01/15,https://images.pokemontcg.io/ecard2/H1_hires.png,154.83,
base4-1,Alakazam,1,Rare Holo,Psychic,Base Set 2,2000/02/24,https://images.pokemontcg.io/base4/1_hires.png,34.96,55.51
hgss1-1,Arcanine,1,Rare Holo,Fire,HeartGold & SoulSilver,2010/02/10,https://images.pokemontcg.io/hgss1/1_hires.png,11.45,74.81
ex11-1,Beedrill δ,1,Rare Holo,"Grass, Metal",Delta Species,2005/10/31,https://images.pokemontcg.io/ex11/1_hires.png,16.63,47.06
ex7-1,Azumarill,1,Rare Holo,Water,Team Rocket Returns,2004/11/01,https://images.pokemontcg.io/ex7/1_hires.png,176.99,49.26
gym1-1,Blaine's Moltres,1,Rare Holo,Fire,Gym Heroes,2000/08/14,https://images.pokemontcg.io/gym1/1_hires.png,96.61,
