card_id,name,supertype,subtypes,types,hp,number,rarity,artist,set.id,set.name,set.series,set.release_date,release_year,images.small,images.large,prices.tcgplayer_variants.normal.market,prices.tcgplayer_variants.holofoil.market,prices.tcgplayer_variants.reverseHolofoil.market,prices.cardmarket_trend,prices.cardmarket_avg_sell,effective_market_price
hgss4-1,Aggron,Pokémon,Stage 2,Metal,140.0,1,Rare Holo,Kagemaru Himeno,hgss4,HS—Triumphant,HeartGold & SoulSilver,2010/11/03,2010,https://images.pokemontcg.io/hgss4/1.png,https://images.pokemontcg.io/hgss4/1_hires.png,,9.8,19.41,3.64,2.67,9.8
xy5-1,Weedle,Pokémon,Basic,Grass,50.0,1,Common,Midori Harada,xy5,Primal Clash,XY,2015/02/04,2015,https://images.pokemontcg.io/xy5/1.png,https://images.pokemontcg.io/xy5/1_hires.png,0.2,,0.61,0.12,0.15,0.2
pl1-1,Ampharos,Pokémon,Stage 2,Lightning,130.0,1,Rare Holo,Atsuko Nishida,pl1,Platinum,Platinum,2009/02/11,2009,https://images.pokemontcg.io/pl1/1.png,https://images.pokemontcg.io/pl1/1_hires.png,,32.44,24.32,5.78,4.96,32.44
dp3-1,Ampharos,Pokémon,Stage 2,Lightning,130.0,1,Rare Holo,Kouki Saitou,dp3,Secret Wonders,Diamond & Pearl,2007/11/01,2007,https://images.pokemontcg.io/dp3/1.png,https://images.pokemontcg.io/dp3/1_hires.png,,42.56,27.06,6.06,3.99,42.56
det1-1,Bulbasaur,Pokémon,Basic,Grass,60.0,1,Common,MPC Film,det1,Detective Pikachu,Sun & Moon,2019/04/05,2019,https://images.pokemontcg.io/det1/1.png,https://images.pokemontcg.io/det1/1_hires.png,,1.13,,0.63,0.78,1.13
dv1-1,Dratini,Pokémon,Basic,Dragon,40.0,1,Rare Holo,Masakazu Fukuda,dv1,Dragon Vault,Black & White,2012/10/05,2012,https://images.pokemontcg.io/dv1/1.png,https://images.pokemontcg.io/dv1/1_hires.png,,4.35,,5.6,1.56,4.35
mcd19-1,Caterpie,Pokémon,Basic,Grass,50.0,1,,Sekio,mcd19,McDonald's Collection 2019,Other,2019/10/15,2019,https://images.pokemontcg.io/mcd19/1.png,https://images.pokemontcg.io/mcd19/1_hires.png,,14.7,,2.14,2.42,14.7
pl3-1,Absol G,Pokémon,"Basic, SP",Darkness,70.0,1,Rare Holo,Yusuke Ishikawa,pl3,Supreme Victors,Platinum,2009/08/19,2009,https://images.pokemontcg.io/pl3/1.png,https://images.pokemontcg.io/pl3/1_hires.png,,35.95,46.32,8.48,6.89,35.95
ex12-1,Aerodactyl,Pokémon,Stage 1,Colorless,70.0,1,Rare Holo,Hajime Kusajima,ex12,Legend Maker,EX,2006/02/01,2006,https://images.pokemontcg.io/ex12/1.png,https://images.pokemontcg.io/ex12/1_hires.png,,79.6,125.0,34.98,24.98,79.6
ex3-1,Absol,Pokémon,Basic,Darkness,70.0,1,Rare Holo,Naoyo Kimura,ex3,Dragon,EX,2003/11/24,2003,https://images.pokemontcg.io/ex3/1.png,https://images.pokemontcg.io/ex3/1_hires.png,,164.66,101.41,41.91,39.83,164.66
ru1-1,Venusaur,Pokémon,Stage 2,Grass,140.0,1,,Pokemon Rumble,ru1,Pokémon Rumble,Other,2009/12/02,2009,https://images.pokemontcg.io/ru1/1.png,https://images.pokemontcg.io/ru1/1_hires.png,,279.91,,122.78,118.93,279.91
ecard2-H1,Ampharos,Pokémon,Stage 2,Lightning,100.0,H1,Rare Holo,Shin-ichi Yoshida,ecard2,Aquapolis,E-Card,2003/01/15,2003,https://images.pokemontcg.io/ecard2/H1.png,https://images.pokemontcg.io/ecard2/H1_hires.png,,,,154.83,179.94,154.83
base4-1,Alakazam,Pokémon,Stage 2,Psychic,80.0,1,Rare Holo,Ken Sugimori,base4,Base Set 2,Base,2000/02/24,2000,https://images.pokemontcg.io/base4/1.png,https://images.pokemontcg.io/base4/1_hires.png,,55.51,,34.96,41.6,55.51
hgss1-1,Arcanine,Pokémon,Stage 1,Fire,110.0,1,Rare Holo,Naoki Saito,hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,2010/02/10,2010,https://images.pokemontcg.io/hgss1/1.png,https://images.pokemontcg.io/hgss1/1_hires.png,,74.81,34.83,11.45,9.83,74.81
ex11-1,Beedrill δ,Pokémon,Stage 2,"Grass, Metal",90.0,1,Rare Holo,Masakazu Fukuda,ex11,Delta Species,EX,2005/10/31,2005,https://images.pokemontcg.io/ex11/1.png,https://images.pokemontcg.io/ex11/1_hires.png,,47.06,81.47,16.63,16.72,47.06
ex7-1,Azumarill,Pokémon,Stage 1,Water,80.0,1,Rare Holo,Sumiyoshi Kizuki,ex7,Team Rocket Returns,EX,2004/11/01,2004,https://images.pokemontcg.io/ex7/1.png,https://images.pokemontcg.io/ex7/1_hires.png,7.2,49.26,85.65,176.99,172.34,7.2
gym1-1,Blaine's Moltres,Pokémon,Basic,Fire,90.0,1,Rare Holo,Ken Sugimori,gym1,Gym Heroes,Gym,2000/08/14,2000,https://images.pokemontcg.io/gym1/1.png,https://images.pokemontcg.io/gym1/1_hires.png,,,,96.61,97.64,96.61
